Industry,Median weekly wage,Median Annual wage,,,,,,
"Forestry","1,269.91",64765.41,,,,,,
Natural Resources,"2,171.10",110726.1,,,,,,
Utilities,"1,907.44",97279.44,,,,,,
Construction,"1,383.54",70560.54,,,,,,
Manufacturing,"1,189.14",60646.14,,,,,,
Trade,853.14,43510.14,,,,,,
Transportation,"1,173.43",59844.93,,,,,,
Information industries,"1,587.64",80969.64,,,,,,
Finance and insurance,"1,477.80",75367.8,,,,,,
Real estate,"1,183.60",60363.6,,,,,,
"Professional services","1,534.25",78246.75,,,,,,
Management,"1,542.92",78688.92,,,,,,
Municipal Services,955.21,48715.71,,,,,,
Educational services,"1,164.68",59398.68,,,,,,
Health care,"1,003.83",51195.33,,,,,,
Entertainment",723.88,36917.88,,,,,,
Hospitality,458.02,23359.02,,,,,,
Other services,960.9,49005.9,,,,,,
Public administration,"1,464.69",74699.19,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
