key,value
"Intimidation",4381
"Destruction/Damage/Vandalism of Property",2433
"Simple Assault",2197
"Aggravated Assault",1407
"All Other Larceny",222
"Robbery",140
"Burglary/Breaking & Entering",134
"Drug/Narcotic Violations",106
"Arson",71
"Weapon Law Violations",63
"Drug Equipment Violations",46
"Theft From Motor Vehicle",39
"Shoplifting",38
"Motor Vehicle Theft",34
"Larceny/Theft Offenses",27
"Theft From Building",26
"False Pretenses/Swindle/Confidence Game",24
"Murder and Nonnegligent Manslaughter",22
"Fondling",18
"Identity Theft",13
"Rape",12
"Pornography/Obscene Material",11
"Theft of Motor Vehicle Parts or Accessories",11
"Credit Card/Automated Teller Machine Fraud",10
"Impersonation",10
"Kidnapping/Abduction",10
"Counterfeiting/Forgery",7
"Extortion/Blackmail",6
"Sodomy",5
"Animal Cruelty",5
"Sexual Assault With An Object",4
"Hacking/Computer Invasion",3
"Stolen Property Offenses",3
"Wire Fraud",3
"Negligent Manslaughter",2
"Pocket-picking",2
"Statutory Rape",2
"Assisting or Promoting Prostitution",1
"Purse-snatching",1
"Betting/Wagering",0
"Bribery",0
"Embezzlement",0
"Human Trafficking, Commercial Sex Acts",0
"Incest",0
"Not Specified",0
"Prostitution",0
"Purchasing Prostitution",0
"Theft From Coin-Operated Machine or Device",0
"Welfare Fraud",0
